hotel,arrival_date,market_segment,country,lead_time,nights,adr,booking_value,cancel_probability,expected_loss,deposit_type,customer_type
City Hotel,2017-04-01,Online TA,THA,22,6,230.0,1380.0,1.0,1380.0,No Deposit,Transient
City Hotel,2017-04-01,Online TA,BRA,208,14,99.0,1386.0,0.890173,1233.779778,No Deposit,Transient
City Hotel,2017-04-01,Online TA,FRA,9,6,224.0,1344.0,0.835196,1122.503424,No Deposit,Transient
City Hotel,2017-04-01,Online TA,CHE,68,7,162.0,1134.0,0.835196,947.1122640000001,No Deposit,Transient
City Hotel,2017-04-01,Online TA,GBR,33,4,230.0,920.0,0.947977,872.13884,No Deposit,Transient
City Hotel,2017-04-03,Online TA,URY,132,11,117.82,1296.02,0.973934,1262.2379426799998,No Deposit,Transient
City Hotel,2017-04-03,Online TA,FRA,57,5,277.0,1385.0,0.77176,1068.8876,No Deposit,Transient
City Hotel,2017-04-03,Direct,AGO,1,16,150.0,2400.0,0.333333,799.9992,No Deposit,Transient
City Hotel,2017-04-03,Online TA,GBR,296,6,193.5,1161.0,0.680154,789.6587940000001,No Deposit,Transient
City Hotel,2017-04-04,Online TA,BRA,76,16,194.06,3104.96,0.680154,2111.85096384,No Deposit,Transient
City Hotel,2017-04-04,Online TA,CIV,34,7,178.0,1246.0,0.973934,1213.5217639999998,No Deposit,Transient
City Hotel,2017-04-04,Online TA,SVN,44,5,169.2,846.0,0.973934,823.948164,No Deposit,Transient
City Hotel,2017-04-05,Online TA,FRA,33,6,220.0,1320.0,0.77176,1018.7232,No Deposit,Transient
Resort Hotel,2017-04-07,Online TA,GBR,84,6,193.0,1158.0,0.806452,933.871416,No Deposit,Transient
Resort Hotel,2017-04-08,Online TA,PRT,86,7,195.86,1371.02,0.924051,1266.89240202,No Deposit,Transient
Resort Hotel,2017-04-08,Online TA,ESP,187,7,198.0,1386.0,0.864865,1198.70289,No Deposit,Transient
City Hotel,2017-04-08,Online TA,USA,111,8,136.13,1089.04,0.947977,1032.38487208,No Deposit,Transient
City Hotel,2017-04-08,Online TA,DEU,109,7,169.07,1183.49,0.77176,913.3702424,No Deposit,Transient
City Hotel,2017-04-08,Online TA,FRA,88,5,220.5,1102.5,0.77176,850.8654,No Deposit,Transient
City Hotel,2017-04-08,Online TA,PRT,129,5,168.0,840.0,0.947977,796.3006799999999,No Deposit,Transient
