month,month_start,hotel,bookings,predicted_cancellations,actual_cancellations,revenue_at_risk
2017-04,2017-04-01,City Hotel,3919,1817.1,1926,698272.0
2017-04,2017-04-01,Resort Hotel,1742,420.2,537,181468.7
2017-05,2017-05-01,City Hotel,4556,2054.2,2217,814203.6
2017-05,2017-05-01,Resort Hotel,1757,400.3,545,169804.5
2017-06,2017-06-01,City Hotel,3971,1833.4,1808,767597.0
2017-06,2017-06-01,Resort Hotel,1676,519.6,631,317783.7
2017-07,2017-07-01,City Hotel,3559,1293.4,1324,557877.0
2017-07,2017-07-01,Resort Hotel,1754,621.3,660,636681.0
2017-08,2017-08-01,City Hotel,3125,1168.0,1123,584771.8
2017-08,2017-08-01,Resort Hotel,1800,681.6,693,758021.0
