hotel,night,bookings_held,expected_arrivals,uncertainty,capacity,rooms_to_release,projected_occupancy_%,actual_arrivals,mean_adr,expected_cancellations
City Hotel,2017-05-01,397,223.8,6.69,226,0.0,99.0,202,125.29,173.2
City Hotel,2017-05-02,331,218.4,6.25,226,0.0,96.6,198,127.06,112.6
City Hotel,2017-05-03,414,241.2,6.72,226,0.0,106.7,213,126.1,172.8
City Hotel,2017-05-04,491,241.1,6.78,226,0.0,106.7,216,126.64,249.9
City Hotel,2017-05-05,512,245.4,7.52,226,0.0,108.6,221,125.86,266.6
City Hotel,2017-05-06,487,252.2,7.4,226,0.0,111.6,221,125.28,234.8
City Hotel,2017-05-07,440,249.6,7.18,226,0.0,110.5,213,123.02,190.4
City Hotel,2017-05-08,419,237.2,6.54,226,0.0,104.9,197,122.73,181.8
City Hotel,2017-05-09,388,241.0,6.45,226,0.0,106.6,211,126.37,147.0
City Hotel,2017-05-10,384,257.3,6.83,226,0.0,113.9,218,132.87,126.7
City Hotel,2017-05-11,384,236.8,7.29,226,0.0,104.8,216,135.76,147.2
City Hotel,2017-05-12,359,219.7,7.15,226,0.0,97.2,209,145.45,139.3
City Hotel,2017-05-13,398,229.7,7.31,226,0.0,101.7,213,140.39,168.3
City Hotel,2017-05-14,366,219.5,6.7,226,0.0,97.1,221,137.31,146.5
City Hotel,2017-05-15,475,206.5,6.19,226,9.0,91.4,206,142.28,268.5
City Hotel,2017-05-16,506,221.6,6.31,226,0.0,98.0,222,141.2,284.4
City Hotel,2017-05-17,469,217.9,6.33,226,0.0,96.4,219,145.46,251.1
City Hotel,2017-05-18,341,209.5,6.74,226,5.0,92.7,219,143.76,131.5
City Hotel,2017-05-19,525,217.4,7.33,226,0.0,96.2,222,143.21,307.6
City Hotel,2017-05-20,548,233.4,7.73,226,0.0,103.3,224,148.2,314.6
City Hotel,2017-05-21,454,224.7,7.26,226,0.0,99.4,217,143.22,229.3
City Hotel,2017-05-22,477,251.9,7.59,226,0.0,111.4,223,144.07,225.1
City Hotel,2017-05-23,359,226.4,7.03,226,0.0,100.2,221,141.53,132.6
City Hotel,2017-05-24,394,268.4,7.45,226,0.0,118.7,220,135.24,125.6
City Hotel,2017-05-25,427,269.1,7.6,226,0.0,119.1,224,131.95,157.9
City Hotel,2017-05-26,451,260.3,8.09,226,0.0,115.2,222,135.9,190.7
City Hotel,2017-05-27,425,253.6,8.09,226,0.0,112.2,220,134.44,171.4
City Hotel,2017-05-28,343,187.7,6.82,226,27.0,83.0,191,129.94,155.3
City Hotel,2017-05-29,290,174.1,5.82,226,42.0,77.1,182,128.25,115.9
City Hotel,2017-05-30,390,179.8,5.58,226,36.0,79.6,180,128.62,210.2
City Hotel,2017-05-31,413,204.1,5.73,226,12.0,90.3,199,127.08,208.9
City Hotel,2017-06-01,366,208.0,6.26,226,7.0,92.0,199,129.73,158.0
City Hotel,2017-06-02,413,228.1,6.76,226,0.0,100.9,221,129.2,184.9
City Hotel,2017-06-03,397,222.8,6.74,226,0.0,98.6,214,132.11,174.2
City Hotel,2017-06-04,351,208.9,6.3,226,6.0,92.4,199,131.36,142.1
City Hotel,2017-06-05,346,224.8,6.43,226,0.0,99.5,216,131.77,121.2
City Hotel,2017-06-06,342,223.7,6.68,226,0.0,99.0,219,136.43,118.3
City Hotel,2017-06-07,356,215.4,6.53,226,0.0,95.3,219,135.73,140.6
City Hotel,2017-06-08,504,220.4,7.23,226,0.0,97.5,217,143.51,283.6
City Hotel,2017-06-09,522,218.4,7.51,226,0.0,96.6,217,141.8,303.6
City Hotel,2017-06-10,462,215.4,7.37,226,0.0,95.3,212,143.7,246.6
City Hotel,2017-06-11,342,198.8,6.7,226,16.0,88.0,188,134.13,143.2
City Hotel,2017-06-12,348,199.6,6.95,226,14.0,88.3,200,132.94,148.4
City Hotel,2017-06-13,355,205.8,6.68,226,9.0,91.1,203,129.07,149.2
City Hotel,2017-06-14,344,205.5,6.62,226,9.0,90.9,216,128.1,138.5
City Hotel,2017-06-15,357,203.2,6.44,226,12.0,89.9,217,129.64,153.8
City Hotel,2017-06-16,381,211.2,6.65,226,3.0,93.5,214,124.97,169.8
City Hotel,2017-06-17,461,209.6,6.83,226,5.0,92.7,212,127.43,251.4
City Hotel,2017-06-18,397,198.3,6.32,226,17.0,87.7,192,125.03,198.7
City Hotel,2017-06-19,400,203.1,6.36,226,12.0,89.9,205,127.51,196.9
City Hotel,2017-06-20,442,215.1,7.16,226,0.0,95.2,219,131.48,226.9
City Hotel,2017-06-21,474,224.8,7.22,226,0.0,99.5,223,133.41,249.2
City Hotel,2017-06-22,406,212.2,7.51,226,1.0,93.9,213,134.09,193.8
City Hotel,2017-06-23,421,208.0,7.7,226,5.0,92.0,206,128.77,213.0
City Hotel,2017-06-24,430,202.5,7.46,226,11.0,89.6,205,126.55,227.5
City Hotel,2017-06-25,333,201.1,6.2,226,14.0,89.0,211,124.38,131.9
City Hotel,2017-06-26,349,211.1,6.39,226,4.0,93.4,224,125.07,137.9
City Hotel,2017-06-27,355,195.9,6.8,226,18.0,86.7,199,125.11,159.1
City Hotel,2017-06-28,419,214.3,7.13,226,0.0,94.8,215,122.15,204.7
City Hotel,2017-06-29,434,217.3,7.49,226,0.0,96.1,214,126.02,216.7
City Hotel,2017-06-30,420,194.6,6.96,226,19.0,86.1,213,125.05,225.4
City Hotel,2017-07-01,377,192.6,7.11,226,21.0,85.2,216,124.95,184.4
City Hotel,2017-07-02,344,185.1,7.06,226,29.0,81.9,201,126.22,158.9
City Hotel,2017-07-03,357,204.3,7.23,226,9.0,90.4,208,127.47,152.7
City Hotel,2017-07-04,321,219.6,6.3,226,0.0,97.2,220,122.61,101.4
City Hotel,2017-07-05,344,239.6,6.82,226,0.0,106.0,224,122.98,104.4
City Hotel,2017-07-06,359,220.8,7.9,226,0.0,97.7,217,123.83,138.2
City Hotel,2017-07-07,385,223.8,8.48,226,0.0,99.0,220,121.95,161.2
City Hotel,2017-07-08,387,225.5,8.51,226,0.0,99.8,221,120.71,161.5
City Hotel,2017-07-09,363,219.7,7.64,226,0.0,97.2,219,121.37,143.3
City Hotel,2017-07-10,376,233.7,7.61,226,0.0,103.4,221,124.68,142.3
City Hotel,2017-07-11,387,238.1,7.46,226,0.0,105.4,219,123.76,148.9
City Hotel,2017-07-12,374,237.3,7.27,226,0.0,105.0,225,123.09,136.7
City Hotel,2017-07-13,359,242.1,6.55,226,0.0,107.1,224,123.25,116.9
City Hotel,2017-07-14,359,238.1,6.55,226,0.0,105.4,222,124.56,120.9
City Hotel,2017-07-15,394,235.1,7.78,226,0.0,104.0,215,124.71,158.9
City Hotel,2017-07-16,388,231.3,7.69,226,0.0,102.4,217,124.01,156.7
City Hotel,2017-07-17,370,234.5,7.81,226,0.0,103.7,224,122.27,135.5
City Hotel,2017-07-18,354,223.6,7.47,226,0.0,98.9,224,120.0,130.4
City Hotel,2017-07-19,335,218.8,7.14,226,0.0,96.8,224,119.07,116.2
City Hotel,2017-07-20,334,217.8,7.21,226,0.0,96.4,224,121.97,116.2
City Hotel,2017-07-21,316,211.9,7.15,226,2.0,93.8,215,125.76,104.1
City Hotel,2017-07-22,327,224.9,6.85,226,0.0,99.5,220,126.06,102.1
City Hotel,2017-07-23,343,220.8,6.63,226,0.0,97.7,220,129.43,122.2
City Hotel,2017-07-24,338,210.3,7.1,226,4.0,93.1,211,135.12,127.7
City Hotel,2017-07-25,365,219.1,7.27,226,0.0,97.0,223,136.22,145.9
City Hotel,2017-07-26,355,220.6,7.14,226,0.0,97.6,218,135.7,134.4
City Hotel,2017-07-27,384,233.5,7.58,226,0.0,103.3,223,134.15,150.5
City Hotel,2017-07-28,407,240.9,7.72,226,0.0,106.6,220,131.65,166.1
City Hotel,2017-07-29,416,240.6,8.02,226,0.0,106.4,210,133.85,175.4
City Hotel,2017-07-30,346,214.2,7.41,226,0.0,94.8,191,134.4,131.8
City Hotel,2017-07-31,375,234.3,7.61,226,0.0,103.7,215,133.29,140.7
City Hotel,2017-08-01,378,229.0,7.83,226,0.0,101.3,210,136.94,149.0
City Hotel,2017-08-02,370,235.4,7.69,226,0.0,104.2,223,140.0,134.6
City Hotel,2017-08-03,384,242.2,7.94,226,0.0,107.2,221,137.28,141.8
City Hotel,2017-08-04,386,235.0,8.06,226,0.0,104.0,223,137.83,151.0
City Hotel,2017-08-05,364,219.3,7.79,226,0.0,97.0,212,139.33,144.7
City Hotel,2017-08-06,347,212.8,7.56,226,0.0,94.1,216,138.2,134.2
City Hotel,2017-08-07,357,231.3,7.61,226,0.0,102.3,223,141.98,125.7
City Hotel,2017-08-08,377,230.7,7.89,226,0.0,102.1,225,138.5,146.3
City Hotel,2017-08-09,370,231.5,7.89,226,0.0,102.4,222,142.39,138.5
City Hotel,2017-08-10,377,229.1,8.09,226,0.0,101.4,222,140.47,147.9
City Hotel,2017-08-11,379,228.7,8.14,226,0.0,101.2,222,143.0,150.3
City Hotel,2017-08-12,377,225.7,8.11,226,0.0,99.9,225,141.19,151.3
City Hotel,2017-08-13,349,213.4,7.76,226,0.0,94.4,208,139.92,135.6
City Hotel,2017-08-14,364,227.2,7.88,226,0.0,100.5,223,143.03,136.8
City Hotel,2017-08-15,364,219.4,7.91,226,0.0,97.1,218,142.88,144.6
City Hotel,2017-08-16,393,241.4,8.34,226,0.0,106.8,220,141.81,151.6
City Hotel,2017-08-17,388,236.7,8.24,226,0.0,104.7,221,141.03,151.3
City Hotel,2017-08-18,412,249.3,8.52,226,0.0,110.3,222,140.41,162.7
City Hotel,2017-08-19,413,248.5,8.19,226,0.0,110.0,217,139.14,164.5
City Hotel,2017-08-20,362,221.9,7.34,226,0.0,98.2,220,134.8,140.1
City Hotel,2017-08-21,344,223.8,7.22,226,0.0,99.0,222,132.96,120.2
City Hotel,2017-08-22,335,219.5,7.18,226,0.0,97.1,222,131.87,115.5
City Hotel,2017-08-23,339,221.7,7.27,226,0.0,98.1,223,134.81,117.3
City Hotel,2017-08-24,334,215.8,7.28,226,0.0,95.5,222,136.96,118.2
City Hotel,2017-08-25,327,213.9,6.79,226,0.0,94.7,221,137.91,113.1
City Hotel,2017-08-26,337,221.2,6.74,226,0.0,97.9,223,136.85,115.8
City Hotel,2017-08-27,300,181.3,7.11,226,32.0,80.2,193,135.91,118.7
City Hotel,2017-08-28,300,165.3,7.35,226,48.0,73.1,213,133.65,134.7
City Hotel,2017-08-29,313,162.0,7.57,226,51.0,71.7,212,134.84,151.0
City Hotel,2017-08-30,287,155.8,7.29,226,58.0,68.9,202,131.76,131.2
City Hotel,2017-08-31,312,178.4,7.51,226,35.0,79.0,223,129.82,133.6
Resort Hotel,2017-05-01,275,201.7,5.13,187,0.0,107.9,172,88.2,73.3
Resort Hotel,2017-05-02,246,183.4,4.48,187,0.0,98.1,157,84.13,62.6
Resort Hotel,2017-05-03,288,206.5,4.93,187,0.0,110.4,177,84.6,81.5
Resort Hotel,2017-05-04,310,210.9,5.34,187,0.0,112.8,177,82.69,99.1
Resort Hotel,2017-05-05,316,212.6,5.49,187,0.0,113.7,171,84.63,103.4
Resort Hotel,2017-05-06,275,189.4,5.34,187,0.0,101.3,154,85.86,85.6
Resort Hotel,2017-05-07,215,157.3,4.5,187,22.0,84.1,133,81.82,57.7
Resort Hotel,2017-05-08,248,190.1,4.64,187,0.0,101.7,158,82.04,57.9
Resort Hotel,2017-05-09,279,206.7,5.05,187,0.0,110.6,179,82.8,72.3
Resort Hotel,2017-05-10,274,196.2,5.06,187,0.0,104.9,169,81.97,77.8
Resort Hotel,2017-05-11,263,198.2,4.84,187,0.0,106.0,174,87.03,64.8
Resort Hotel,2017-05-12,263,201.2,4.79,187,0.0,107.6,179,87.81,61.8
Resort Hotel,2017-05-13,254,200.9,4.76,187,0.0,107.4,175,89.32,53.1
Resort Hotel,2017-05-14,245,193.9,4.54,187,0.0,103.7,170,85.16,51.1
Resort Hotel,2017-05-15,235,193.2,4.45,187,0.0,103.3,174,79.18,41.8
Resort Hotel,2017-05-16,240,198.5,4.4,187,0.0,106.1,182,81.5,41.5
